,city,company,location,summary,title,text,predicted_salary_range
55,seattle,boeing,"Tukwila, WA",as a member of the boeing commercial artificial intelligencerplanes analytic team the data scientist will work with a group of data scientist in the seattle area to analyze data,data scientist,seattle as a member of the boeing commercial artificial intelligencerplanes analytic team the data scientist will work with a group of data scientist in the seattle area to analyze data data scientist,$66000 to $150000
56,seattle,amazon corporate llc,"Seattle, WA",we are seeking data scientist to join our data science and engineering team use data mining model building and other analytical techniques to develop and,chicago data scientist event consumer payments,seattle we are seeking data scientist to join our data science and engineering team use data mining model building and other analytical techniques to develop and chicago data scientist event consumer payments,above $150000
57,seattle,thrift books,"Tukwila, WA",experience with pandas scikit learn and other modern data manipulation and machine learning tools the data scientist and predictive analytic manager will be,data scientist and predictive analytic manager,seattle experience with pandas scikit learn and other modern data manipulation and machine learning tools the data scientist and predictive analytic manager will be data scientist and predictive analytic manager,above $150000
58,seattle,amazon corporate llc,"Seattle, WA",4 years of relevant work experience in data science business analytic business intelligence bi or comparable experience in other big data environments,data scientist private label apparel,seattle 4 years of relevant work experience in data science business analytic business intelligence bi or comparable experience in other big data environments data scientist private label apparel,above $150000
59,new york,verizon,"New York, NY 10003",bachelor s master s degree in statistics math economics engineering computer science business analytic data science or a related field,senior data scientist,new york bachelor s master s degree in statistics math economics engineering computer science business analytic data science or a related field senior data scientist,$66000 to $150000
60,new york,komodo health,"New York, NY",komodo health is transforming predictive analytic in enterprise healthcare with its proprietary data cloud and streaming data platform,data scientist,new york komodo health is transforming predictive analytic in enterprise healthcare with its proprietary data cloud and streaming data platform data scientist,$66000 to $150000
61,new york,workfusion,"New York, NY",deep learning via multilayered neural networks are pushing the state of the art forward for many machine learning applications in diverse domartificial intelligencens,deep learning data scientist,new york deep learning via multilayered neural networks are pushing the state of the art forward for many machine learning applications in diverse domartificial intelligencens deep learning data scientist,above $150000
62,new york,dstillery,"New York, NY",expertise in statistical modeling machine learning and optimization and fluency in the related technical tools python or r preferred,data scientist,new york expertise in statistical modeling machine learning and optimization and fluency in the related technical tools python or r preferred data scientist,$66000 to $150000
63,new york,voca,"New York, NY",the intern data scientist will collaborate with our data scientist team for modeling complex financial economics problems discovering insights and identifying,intern data scientist,new york the intern data scientist will collaborate with our data scientist team for modeling complex financial economics problems discovering insights and identifying intern data scientist,$66000 to $150000
64,new york,ibm,"New York, NY",advanced analytic is a key function on the analytic side of the analytic data practice in ibm marketing,data scientist,new york advanced analytic is a key function on the analytic side of the analytic data practice in ibm marketing data scientist,$66000 to $150000
65,new york,factset,"New York, NY 10279 (Financial District area)",creative data scientist and be interested in the scientist and engineer design build and deploy machine learning models for,data scientist,new york creative data scientist and be interested in the scientist and engineer design build and deploy machine learning models for data scientist,$66000 to $150000
66,new york,enterprise select,"New York, NY 10005 (Financial District area)",as a candidate you can expect to use predictive modeling statistics machine learning data mining and other data analysis techniques to extract insights,data scientist,new york as a candidate you can expect to use predictive modeling statistics machine learning data mining and other data analysis techniques to extract insights data scientist,above $150000
67,new york,wink,"New York, NY",recognize that sometimes if not most times the simple solution is the best solution as a member of the data science team you will share responsibility for,data scientist,new york recognize that sometimes if not most times the simple solution is the best solution as a member of the data science team you will share responsibility for data scientist,above $150000
68,new york,blue state digital,"New York, NY",deep familiarity with the core concepts advantages and tradeoffs of relational and nonrelational data systems,data scientist,new york deep familiarity with the core concepts advantages and tradeoffs of relational and nonrelational data systems data scientist,$66000 to $150000
69,new york,squarespace,"New York, NY 10014 (West Village area)",we are seeking multiple data scientist who demonstrate sharp intellectual curiosity data fluency and a collaborative work ethic,data scientist,new york we are seeking multiple data scientist who demonstrate sharp intellectual curiosity data fluency and a collaborative work ethic data scientist,$66000 to $150000
70,new york,citi,"New York, NY",must have a master s degree in applied mathematics physics finance or computer science or related field and 6 years of experience creating and implementing,quantitative analyst,new york must have a master s degree in applied mathematics physics finance or computer science or related field and 6 years of experience creating and implementing quantitative analyst,below $66000
71,new york,stratford solutions inc,"New York, NY",follows industry trends in related data analytic processes and businesses degree in computer science math or related technical area preferred or advanced,data scientist,new york follows industry trends in related data analytic processes and businesses degree in computer science math or related technical area preferred or advanced data scientist,$66000 to $150000
72,new york,kpmg,"New York, NY 10154",kpmg is currently seeking a data scientist to join our advanced data analytic organization analyze and model structured data and implement algorithms to,data scientist,new york kpmg is currently seeking a data scientist to join our advanced data analytic organization analyze and model structured data and implement algorithms to data scientist,above $150000
73,new york,kpmg,"New York, NY 10154",kpmg is currently seeking a data scientist big data analytic to join our advanced data analytic organization,data scientist big data analytic,new york kpmg is currently seeking a data scientist big data analytic to join our advanced data analytic organization data scientist big data analytic,above $150000
74,austin,indeed,"Austin, TX 78731",work closely with stakeholders on the data demand side finance analyst and data scientist create and manage data sources,data engineer,austin work closely with stakeholders on the data demand side finance analyst and data scientist create and manage data sources data engineer,$66000 to $150000
75,austin,indeed,"Austin, TX 78731",as a data scientist at indeed your role is to follow the data we are looking for a mixture between a statistician scientist machine learning expert and,data scientist,austin as a data scientist at indeed your role is to follow the data we are looking for a mixture between a statistician scientist machine learning expert and data scientist,$66000 to $150000
76,austin,solarwinds,"Austin, TX 78735",develop and manage vendor relationships related to any new or applications required to augment the analytic infrastructure,data scientist,austin develop and manage vendor relationships related to any new or applications required to augment the analytic infrastructure data scientist,$66000 to $150000
77,austin,atlas wearables,"Austin, TX",you will help push the limits of machine learning as a key member of the data science team whose responsibilities range from implementing highly optimized,data scientist,austin you will help push the limits of machine learning as a key member of the data science team whose responsibilities range from implementing highly optimized data scientist,$66000 to $150000
78,austin,walmart,"Austin, TX 78716",bachelors degree in statistics economics analytic mathematics computer science information technology or related field and 7 years experience in an,associate data scientist machine learning,austin bachelors degree in statistics economics analytic mathematics computer science information technology or related field and 7 years experience in an associate data scientist machine learning,$66000 to $150000
79,austin,signature science llc,"Austin, TX 78759 (Arboretum area)",the data scientist will assist scientific and technical staff in the interpretation integration transformation reporting of large data sets big data from,data scientist,austin the data scientist will assist scientific and technical staff in the interpretation integration transformation reporting of large data sets big data from data scientist,$66000 to $150000
80,austin,charles schwab,"Austin, TX 73344",work independently or collaboratively throughout the complete analytic project lifecycle including data extraction preparation design and implementation of,machine learning scientist,austin work independently or collaboratively throughout the complete analytic project lifecycle including data extraction preparation design and implementation of machine learning scientist,$66000 to $150000
81,austin,ihiji,"Austin, TX",ihiji an entrepreneurial software company is growing its team and seeking a data scientist intern machine learning and advanced stats not required but it,intern data scientist summer 2017,austin ihiji an entrepreneurial software company is growing its team and seeking a data scientist intern machine learning and advanced stats not required but it intern data scientist summer 2017,$66000 to $150000
82,austin,university of texas at austin,"Austin, TX",of texas trs subject to the position being at demonstrated ability to manage multiple assignments and projects,research associate het data scientist,austin of texas trs subject to the position being at demonstrated ability to manage multiple assignments and projects research associate het data scientist,below $66000
83,austin,homeaway,"Austin, TX",8 years of experience in data science and analytic fields assist others with data discovery and data preparation phase,data scientist ii content,austin 8 years of experience in data science and analytic fields assist others with data discovery and data preparation phase data scientist ii content,$66000 to $150000
84,austin,apple,"Austin, TX",develop new tools capabilities and infrastructure to improve how data scientist conduct data analysis and model research,data science engineer,austin develop new tools capabilities and infrastructure to improve how data scientist conduct data analysis and model research data science engineer,$66000 to $150000
85,austin,university of texas at austin,"Austin, TX",applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information at the,research associate r and d data scientist,austin applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information at the research associate r and d data scientist,below $66000
86,austin,charles schwab,"Austin, TX 73344",work independently or collaboratively throughout the complete analytic project lifecycle including data extraction preparation design and implementation of,senior data scientist machine learning scientist,austin work independently or collaboratively throughout the complete analytic project lifecycle including data extraction preparation design and implementation of senior data scientist machine learning scientist,$66000 to $150000
87,austin,stanley black decker,"Austin, TX 78758",the data engineer will work side by side with our data scientist and contribute to the development of our various analytic products,data engineer,austin the data engineer will work side by side with our data scientist and contribute to the development of our various analytic products data engineer,$66000 to $150000
88,austin,predictive science,United States,this is a freelance data scientist position who will work with other senior data scientist to consult with executives and data scientist who are a part of the,data scientist,austin this is a freelance data scientist position who will work with other senior data scientist to consult with executives and data scientist who are a part of the data scientist,$66000 to $150000
89,philadelphia,the meet group,"Philadelphia, PA",at the meet group data scientist extract insights from data to guide product improvements resulting in a better experience for our members,senior data scientist,philadelphia at the meet group data scientist extract insights from data to guide product improvements resulting in a better experience for our members senior data scientist,above $150000
90,philadelphia,amerihealth caritas,"Philadelphia, PA",we re looking for the next generation of health care leaders defines problems collects data applies advanced economic and mathematical concepts establishes,data scientist,philadelphia we re looking for the next generation of health care leaders defines problems collects data applies advanced economic and mathematical concepts establishes data scientist,$66000 to $150000
91,philadelphia,colorcon,"Harleysville, PA 19438",good organizational skills with an emphasis on accurate data recording must be proficient in excel word project and powerpoint,product development scientist,philadelphia good organizational skills with an emphasis on accurate data recording must be proficient in excel word project and powerpoint product development scientist,$66000 to $150000
92,philadelphia,ims health,"Plymouth Meeting, PA",apply machine learning data mining technologies in developing innovative solutions in pharmaceutical industry,machine learning specialist,philadelphia apply machine learning data mining technologies in developing innovative solutions in pharmaceutical industry machine learning specialist,$66000 to $150000
93,philadelphia,university of pennsylvania health system,"Philadelphia, PA",the position will apply machine learning and computational statistics techniques to clinical administrative and social media data to create immense value for,senior data scientist,philadelphia the position will apply machine learning and computational statistics techniques to clinical administrative and social media data to create immense value for senior data scientist,$66000 to $150000
94,philadelphia,meetme,"Philadelphia, PA",at meetme data scientist extract insights from data to guide product improvements resulting in a better experience for our members,data scientist,philadelphia at meetme data scientist extract insights from data to guide product improvements resulting in a better experience for our members data scientist,above $150000
95,philadelphia,glaxosmithkline,"Philadelphia, PA",the data scientist will build test and validate predictive statistical models leverage machine learning approaches and use an array of analytic tools,data scientist biomedical r d data coe,philadelphia the data scientist will build test and validate predictive statistical models leverage machine learning approaches and use an array of analytic tools data scientist biomedical r d data coe,$66000 to $150000
96,philadelphia,glaxosmithkline,"Collegeville, PA 19426",we therefore have a vacancy for a biological data scientist with deep expertise in modern machine learning techniques experience of handling large high content,biological data scientist ddm,philadelphia we therefore have a vacancy for a biological data scientist with deep expertise in modern machine learning techniques experience of handling large high content biological data scientist ddm,above $150000
97,philadelphia,comcast,"Philadelphia, PA 19103 (Belmont area)",uses analytical rigor and statistical methods to analyze large amounts of data extracting actionable insights using advanced statistical techniques such as,senior data scientist,philadelphia uses analytical rigor and statistical methods to analyze large amounts of data extracting actionable insights using advanced statistical techniques such as senior data scientist,above $150000
98,philadelphia,merck,"West Point, PA",known as merck in the united states and canada is a global health care leader with a diversified portfolio of prescription medicines vaccines and animal,statistician center for mathematical sciences job,philadelphia known as merck in the united states and canada is a global health care leader with a diversified portfolio of prescription medicines vaccines and animal statistician center for mathematical sciences job,below $66000
99,philadelphia,solvay,"Bristol, PA",must have strong expertise in statistics machine learning big data science develop data analytic techniques to answer expressed and unexpressed needs,data scientist,philadelphia must have strong expertise in statistics machine learning big data science develop data analytic techniques to answer expressed and unexpressed needs data scientist,above $150000
100,philadelphia,elsevier,"Philadelphia, PA 19103 (Belmont area)",a global company based in amsterdam elsevier partners with scientist researchers healthcare providers educators and decision makers in academic,research data analyst,philadelphia a global company based in amsterdam elsevier partners with scientist researchers healthcare providers educators and decision makers in academic research data analyst,$66000 to $150000
101,philadelphia,temple university,"Philadelphia, PA",strong data management skills including the ability to manage large data sets strong quantitative data analysis skills,research analyst i,philadelphia strong data management skills including the ability to manage large data sets strong quantitative data analysis skills research analyst i,$66000 to $150000
102,philadelphia,predictive science,United States,this is a freelance data scientist position who will work with other senior data scientist to consult with executives and data scientist who are a part of the,data scientist,philadelphia this is a freelance data scientist position who will work with other senior data scientist to consult with executives and data scientist who are a part of the data scientist,$66000 to $150000
103,philadelphia,te connectivity,"Berwyn, PA",be a subject matter expert on te internal data tools as well as utilize data science tools and techniques to analyze large data sets and develop models,data scientist marketing insights,philadelphia be a subject matter expert on te internal data tools as well as utilize data science tools and techniques to analyze large data sets and develop models data scientist marketing insights,above $150000
104,atlanta,philips,"Alpharetta, GA",experience managing or mentoring junior analyst and data scientist on technical methodology and project execution,data scientist population health management,atlanta experience managing or mentoring junior analyst and data scientist on technical methodology and project execution data scientist population health management,$66000 to $150000
105,atlanta,deloitte,"Atlanta, GA",we use leading analytic and visualization technologies to co create rapid prototypes and facilitate actionable insights,designer data visualization manager,atlanta we use leading analytic and visualization technologies to co create rapid prototypes and facilitate actionable insights designer data visualization manager,above $150000
106,atlanta,principle solutions group,"Atlanta, GA",our enterprise client is looking for a data scientist to join their big data analytic r d group data scientist machine learning,data scientist machine learning,atlanta our enterprise client is looking for a data scientist to join their big data analytic r d group data scientist machine learning data scientist machine learning,$66000 to $150000
107,atlanta,siemens,"Atlanta, GA 30339",o proven experience with applied data analytic and machine learning o practical experience with data analytic in aws e g with apache spark,data scientist,atlanta o proven experience with applied data analytic and machine learning o practical experience with data analytic in aws e g with apache spark data scientist,above $150000
108,atlanta,360i,"Atlanta, GA 30306 (Virginia-Highland area)",the individual will be mentored by senior members of the department with the goal of learning more advanced data science skills such as api usage python and r,associate data scientist,atlanta the individual will be mentored by senior members of the department with the goal of learning more advanced data science skills such as api usage python and r associate data scientist,$66000 to $150000
109,atlanta,patientco,"Atlanta, GA",you can demonstrate a consistent track record of performing data analysis using python r and sql as a data scientist at patientco you ll be responsible for,data scientist,atlanta you can demonstrate a consistent track record of performing data analysis using python r and sql as a data scientist at patientco you ll be responsible for data scientist,$66000 to $150000
110,atlanta,norfolk southern corp,"Atlanta, GA 30309 (Midtown area)",effectively utilize statistical data mining machine learning and operations research techniques and computer science skills in delivering advanced analytic,data scientist,atlanta effectively utilize statistical data mining machine learning and operations research techniques and computer science skills in delivering advanced analytic data scientist,above $150000
